conflict_id;location;side_a;side_a_id;side_a_2nd;side_b;side_b_id;side_b_2nd;incompatibility;territory_name;year;intensity_level;cumulative_intensity;type_of_conflict;start_date;start_prec;start_date2;start_prec2;ep_end;ep_end_date;ep_end_prec;gwno_a;gwno_a_2nd;gwno_b;gwno_b_2nd;gwno_loc;region;version
11342;India;Government of India;141;;GNLA;1163;;1;Garoland;2012;1;0;3;29/05/1997;1;15/11/2012;1;1;21/12/2012;;750;;;;750;3;21/01/2022
11342;India;Government of India;141;;GNLA;1163;;1;Garoland;2014;1;0;3;29/05/1997;1;01/07/2014;1;1;27/11/2014;;750;;;;750;3;21/01/2022
11343;Egypt, Israel;Government of Egypt;117;;Government of Israel;121;;1;Suez/Sinai;1967;2;1;2;05/06/1967;1;05/06/1967;1;1;10/06/1967;;651;;666;;651, 666;2;21/01/2022
11343;Egypt, Israel;Government of Egypt;117;;Government of Israel;121;;1;Suez/Sinai;1969;1;1;2;05/06/1967;1;06/03/1969;1;0;;;651;;666;;651, 666;2;21/01/2022
11343;Egypt, Israel;Government of Egypt;117;;Government of Israel;121;;1;Suez/Sinai;1970;1;1;2;05/06/1967;1;06/03/1969;1;1;07/08/1970;;651;;666;;651, 666;2;21/01/2022
11343;Egypt, Israel;Government of Egypt;117;;Government of Israel;121;;1;Suez/Sinai;1973;2;1;2;05/06/1967;1;06/10/1973;1;1;24/10/1973;;651;;666;;651, 666;2;21/01/2022
11344;Sudan;Government of Sudan;112;;Republic of South Sudan;1129;;1;Abyei;2011;1;0;3;01/05/2011;1;19/05/2011;1;1;15/06/2011;;625;;;;625;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;SSDM/A, SSLM/A;1108, 1124;;2;;2011;1;0;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;SSLM/A;1124;;2;;2012;1;0;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;SPLM/A - IO, SSDM/A - Cobra Faction;4226, 3563;;2;;2013;1;1;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;Government of Uganda;SPLM/A - IO;4226;;2;;2014;2;1;4;20/08/2011;2;20/08/2011;2;0;;;626;500;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;Government of Uganda;SPLM/A - IO;4226;;2;;2015;1;1;4;20/08/2011;2;20/08/2011;2;0;;;626;500;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;SPLM/A - IO;4226;;2;;2016;1;1;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;SPLM/A - IO;4226;;2;;2017;1;1;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;SPLM/A - IO;4226;;2;;2018;1;1;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;NAS;6794;;2;;2019;1;1;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11345;South Sudan;Government of South Sudan;113;;NAS;6794;;2;;2020;1;1;3;20/08/2011;2;20/08/2011;2;0;;;626;;;;626;4;21/01/2022
11346;Libya;Government of Libya;111;Government of Zimbabwe (Rhodesia);Forces of Muammar Gaddafi, NTC;1127, 1126;;2;;2011;2;1;4;28/02/2011;1;04/03/2011;1;1;23/11/2011;;620;552;;;620;4;21/01/2022
11346;Libya;Government of Libya;111;;ASL;7046;;2;;2013;1;1;3;28/02/2011;1;29/11/2013;1;0;;;620;;;;620;4;21/01/2022
11346;Libya;Government of Libya;111;;Forces of the House of Representatives, Zintan Military Council;5802, 5940;;2;;2014;1;1;3;28/02/2011;1;29/11/2013;1;0;;;620;;;;620;4;21/01/2022
11346;Libya;Government of Libya;111;;Forces of the House of Representatives;5802;;2;;2015;1;1;3;28/02/2011;1;29/11/2013;1;1;19/04/2015;;620;;;;620;4;21/01/2022
11346;Libya;Government of Libya;111;;Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL;6814, 5802, 6893;;2;;2017;1;1;3;28/02/2011;1;18/05/2017;1;1;12/11/2017;;620;;;;620;4;21/01/2022
11346;Libya;Government of Libya;111;;Forces of the House of Representatives;5802;Government of Sudan, Government of United Arab Emirates;2;;2019;2;1;4;28/02/2011;1;21/02/2019;2;0;;;620;;;625, 696;620;4;21/01/2022
11346;Libya;Government of Libya;111;Government of Turkey;Forces of the House of Representatives;5802;;2;;2020;1;1;4;28/02/2011;1;21/02/2019;2;0;;;620;640;;;620;4;21/01/2022
11347;Mali;Government of Mali;72;;AQIM;539;;2;;2009;1;0;3;10/06/2009;1;16/06/2009;1;1;16/07/2009;;432;;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;;Ansar Dine, Military faction (Red Berets);1157, 1164;;2;;2012;1;0;3;10/06/2009;1;24/01/2012;1;0;;;432;;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;Government of Bangladesh, Government of Belgium, Government of Benin, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Chad, Government of China, Government of Egypt, Government of Estonia, Government of Finland, Government of France, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Liberia, Government of Mauritania, Government of Nepal, Government of Niger, Government of Nigeria, Government of Norway, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Tajikistan, Government of Togo, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen);Ansar Dine, AQIM, MUJAO, Signed-in-Blood Battalion;1157, 539, 1161, 3481;;2;;2013;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;771, 211, 434, 439, 516, 811, 483, 710, 651, 366, 375, 220, 260, 452, 438, 404, 325, 437, 663, 450, 435, 790, 436, 475, 385, 517, 433, 451, 380, 702, 461, 200, 2, 678;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;Government of Bangladesh, Government of Belgium, Government of Benin, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Chad, Government of China, Government of Egypt, Government of Estonia, Government of Finland, Government of France, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Liberia, Government of Mauritania, Government of Nepal, Government of Niger, Government of Nigeria, Government of Norway, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Tajikistan, Government of Togo, Government of United Kingdom, Government of United States of America;al-Murabitun, AQIM;4376, 539;;2;;2014;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;771, 211, 434, 439, 516, 811, 483, 710, 651, 366, 375, 220, 260, 452, 438, 404, 325, 437, 663, 450, 435, 790, 436, 475, 385, 517, 433, 451, 380, 702, 461, 200, 2;;;432;4;21/01/2022
