Entity,Code,Year,Number of civil conflicts with foreign state intervention,Number of civil conflicts,Number of conflicts between states,Number of colonial or imperial conflicts
Africa,,1946,0,0,0,0
Africa,,1947,0,0,0,1
Africa,,1948,0,0,0,0
Africa,,1949,0,0,0,0
Africa,,1950,0,0,0,0
Africa,,1951,0,0,0,0
Africa,,1952,0,0,0,1
Africa,,1953,0,0,0,3
Africa,,1954,0,0,0,4
Africa,,1955,0,0,0,4
Africa,,1956,0,0,0,4
Africa,,1957,0,0,0,4
Africa,,1958,0,0,0,4
Africa,,1959,0,0,0,2
Africa,,1960,1,2,0,1
Africa,,1961,0,3,1,2
Africa,,1962,0,2,0,2
Africa,,1963,0,1,1,2
Africa,,1964,1,4,1,3
Africa,,1965,0,4,0,3
Africa,,1966,0,6,0,3
Africa,,1967,0,7,0,3
Africa,,1968,0,6,0,3
Africa,,1969,1,4,0,3
Africa,,1970,1,4,0,3
Africa,,1971,1,7,0,3
Africa,,1972,1,4,0,3
Africa,,1973,0,3,0,3
Africa,,1974,0,4,0,2
Africa,,1975,2,5,0,0
Africa,,1976,2,9,0,0
Africa,,1977,4,9,1,0
Africa,,1978,4,9,2,0
Africa,,1979,3,8,0,0
Africa,,1980,6,7,1,0
Africa,,1981,5,9,0,0
Africa,,1982,2,10,0,0
Africa,,1983,3,12,1,0
Africa,,1984,2,10,0,0
Africa,,1985,2,8,1,0
Africa,,1986,3,10,0,0
Africa,,1987,3,10,1,0
Africa,,1988,2,9,0,0
Africa,,1989,2,10,0,0
Africa,,1990,2,11,0,0
Africa,,1991,1,17,0,0
Africa,,1992,1,14,0,0
Africa,,1993,1,10,0,0
Africa,,1994,1,14,0,0
Africa,,1995,1,10,0,0
Africa,,1996,2,9,1,0
Africa,,1997,3,11,0,0
Africa,,1998,5,11,1,0
Africa,,1999,5,10,1,0
Africa,,2000,3,11,1,0
Africa,,2001,3,13,0,0
Africa,,2002,2,13,0,0
Africa,,2003,1,11,0,0
Africa,,2004,1,9,0,0
Africa,,2005,1,7,0,0
Africa,,2006,2,8,0,0
Africa,,2007,1,11,0,0
Africa,,2008,2,10,1,0
Africa,,2009,3,10,0,0
Africa,,2010,4,6,0,0
Africa,,2011,5,10,0,0
Africa,,2012,5,7,1,0
Africa,,2013,7,7,0,0
Africa,,2014,7,7,0,0
Africa,,2015,10,11,0,0
Africa,,2016,8,13,1,0
Africa,,2017,10,9,0,0
Africa,,2018,11,10,0,0
Africa,,2019,17,9,0,0
Africa,,2020,17,13,0,0
Americas,,1946,0,1,0,0
Americas,,1947,0,1,0,0
Americas,,1948,0,1,0,0
Americas,,1949,0,1,0,0
Americas,,1950,0,0,0,1
Americas,,1951,0,0,0,0
Americas,,1952,0,1,0,0
Americas,,1953,0,1,0,0
Americas,,1954,0,2,0,0
Americas,,1955,0,1,0,0
Americas,,1956,0,1,0,0
Americas,,1957,0,1,1,0
Americas,,1958,0,1,0,0
Americas,,1959,0,0,0,0
Americas,,1960,0,0,0,0
Americas,,1961,1,0,0,0
Americas,,1962,0,1,0,0
Americas,,1963,0,2,0,0
Americas,,1964,0,1,0,0
Americas,,1965,0,4,0,0
Americas,,1966,0,2,0,0
Americas,,1967,0,3,0,0
Americas,,1968,0,2,0,0
Americas,,1969,0,2,1,0
Americas,,1970,0,2,0,0
Americas,,1971,0,2,0,0
Americas,,1972,0,4,0,0
Americas,,1973,0,3,0,0
Americas,,1974,0,3,0,0
Americas,,1975,0,3,0,0
Americas,,1976,0,3,0,0
Americas,,1977,0,4,0,0
Americas,,1978,0,3,0,0
Americas,,1979,0,4,0,0
Americas,,1980,0,3,0,0
Americas,,1981,0,3,0,0
Americas,,1982,0,6,1,0
Americas,,1983,0,5,1,0
Americas,,1984,0,5,0,0
Americas,,1985,0,5,0,0
Americas,,1986,0,5,0,0
Americas,,1987,0,6,0,0
Americas,,1988,0,5,0,0
Americas,,1989,0,8,1,0
Americas,,1990,0,6,0,0
Americas,,1991,0,5,0,0
Americas,,1992,0,4,0,0
Americas,,1993,0,3,0,0
Americas,,1994,0,4,0,0
Americas,,1995,0,3,1,0
Americas,,1996,0,3,0,0
Americas,,1997,0,2,0,0
Americas,,1998,0,2,0,0
Americas,,1999,0,2,0,0
Americas,,2000,0,1,0,0
Americas,,2001,1,1,1,0
Americas,,2002,1,1,0,0
Americas,,2003,1,1,1,0
Americas,,2004,1,2,0,0
Americas,,2005,1,1,0,0
Americas,,2006,1,1,0,0
Americas,,2007,1,2,0,0
Americas,,2008,1,2,0,0
Americas,,2009,1,2,0,0
Americas,,2010,1,2,0,0
Americas,,2011,1,1,0,0
Americas,,2012,1,1,0,0
Americas,,2013,1,1,0,0
Americas,,2014,1,1,0,0
Americas,,2015,1,1,0,0
Americas,,2016,1,1,0,0
Americas,,2017,1,0,0,0
Americas,,2018,0,1,0,0
Americas,,2019,1,1,0,0
Americas,,2020,0,1,0,0
Asia & Oceania,,1946,0,2,1,4
Asia & Oceania,,1947,0,4,0,4
Asia & Oceania,,1948,0,6,2,5
